__Emoji__,,,1,記号,一般,*,*,*,*,*,*,__EmojiPlantFlower__
__EmojiPlantFlower__,,,1,記号,一般,*,*,*,*,*,*,__EmojiPlantFlower__
__EmojiAwardMedal__,,,1,記号,一般,*,*,*,*,*,*,__EmojiAwardMedal__
__EmojiOffice__,,,1,記号,一般,*,*,*,*,*,*,__EmojiOffice__
__EmojiDishware__,,,1,記号,一般,*,*,*,*,*,*,__EmojiDishware__
__EmojiMusicalInstrument__,,,1,記号,一般,*,*,*,*,*,*,__EmojiMusicalInstrument__
__EmojiWarning__,,,1,記号,一般,*,*,*,*,*,*,__EmojiWarning__
__EmojiFaceNegative__,,,1,記号,一般,*,*,*,*,*,*,__EmojiFaceNegative__
__EmojiTransportSign__,,,1,記号,一般,*,*,*,*,*,*,__EmojiTransportSign__
__EmojiOtherObject__,,,1,記号,一般,*,*,*,*,*,*,__EmojiOtherObject__
__EmojiMail__,,,1,記号,一般,*,*,*,*,*,*,__EmojiMail__
__EmojiBody__,,,1,記号,一般,*,*,*,*,*,*,__EmojiBody__
__EmojiAnimalAmphibian__,,,1,記号,一般,*,*,*,*,*,*,__EmojiAnimalAmphibian__
__EmojiFoodSweet__,,,1,記号,一般,*,*,*,*,*,*,__EmojiFoodSweet__
__EmojiCatFace__,,,1,記号,一般,*,*,*,*,*,*,__EmojiCatFace__
__EmojiAnimalBug__,,,1,記号,一般,*,*,*,*,*,*,__EmojiAnimalBug__
__EmojiDrink__,,,1,記号,一般,*,*,*,*,*,*,__EmojiDrink__
__EmojiFaceRole__,,,1,記号,一般,*,*,*,*,*,*,__EmojiFaceRole__
__EmojiComputer__,,,1,記号,一般,*,*,*,*,*,*,__EmojiComputer__
__TweetRT__,,,1,記号,一般,*,*,*,*,*,*,__TweetRT__
__EmojiPlaceOther__,,,1,記号,一般,*,*,*,*,*,*,__EmojiPlaceOther__
__TweetReplyAt__,,,1,記号,一般,*,*,*,*,*,*,__TweetReplyAt__
__EmojiPerson__,,,1,記号,一般,*,*,*,*,*,*,__EmojiPerson__
__EmojiFoodPrepared__,,,1,記号,一般,*,*,*,*,*,*,__EmojiFoodPrepared__
__EmojiMonkeyFace__,,,1,記号,一般,*,*,*,*,*,*,__EmojiMonkeyFace__
__EmojiPlantOther__,,,1,記号,一般,*,*,*,*,*,*,__EmojiPlantOther__
__EmojiFoodFruit__,,,1,記号,一般,*,*,*,*,*,*,__EmojiFoodFruit__
__EmojiAvSymbol__,,,1,記号,一般,*,*,*,*,*,*,__EmojiAvSymbol__
__EmojiMedical__,,,1,記号,一般,*,*,*,*,*,*,__EmojiMedical__
__EmojiKeycap__,,,1,記号,一般,*,*,*,*,*,*,__EmojiKeycap__
__EmojiClothing__,,,1,記号,一般,*,*,*,*,*,*,__EmojiClothing__
__EmojiPersonSport__,,,1,記号,一般,*,*,*,*,*,*,__EmojiPersonSport__
